timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-01-26 16:00:00,104967.02,105260.36,104896.0,105081.63,866.43502,1737921599999,91032860.50850760,188842,409.23095000,42999262.60467530,0
2025-01-26 20:00:00,105081.64,105200.0,102520.44,102620.0,3923.998,1737935999999,406594989.18826300,710303,1585.00518000,164106452.77702660,0
2025-01-27 00:00:00,102620.01,103260.0,100720.53,101395.64,8353.88719,1737950399999,849469493.23898560,1503652,3746.94991000,381105547.03545720,0
2025-01-27 04:00:00,101395.64,101399.99,97777.77,99048.02,12651.63419,1737964799999,1259364955.18077890,1576060,5331.19038000,530521483.66481160,0
2025-01-27 08:00:00,99048.01,99533.33,98263.49,98761.13,6790.38919,1737979199999,672110256.44378360,1340740,3288.50392000,325545752.86039260,0
2025-01-27 12:00:00,98761.12,102317.94,98714.28,101112.03,11346.0746,1737993599999,1145142235.51675100,2235709,5731.24030000,578455374.38269050,0
2025-01-27 16:00:00,101112.03,101250.56,98864.0,99700.02,6873.59773,1738007999999,685571475.56688460,1549386,2963.51767000,295535090.77053590,0
2025-01-27 20:00:00,99700.01,102405.0,99606.46,102082.83,4742.5512,1738022399999,481227906.88206030,1163363,2467.82215000,250406512.12800600,0
2025-01-28 00:00:00,102082.83,102892.0,101334.55,102636.32,3670.23637,1738036799999,374813977.56928790,832457,1748.93323000,178635680.09141620,0
2025-01-28 04:00:00,102636.32,103371.24,102527.39,102789.72,2654.45746,1738051199999,273380067.14003550,543027,1298.84369000,133776289.00347820,0
2025-01-28 08:00:00,102789.72,103181.82,102393.94,102762.01,2051.60214,1738065599999,210861820.05321970,536553,1007.68147000,103574325.24093060,0
2025-01-28 12:00:00,102762.02,103800.0,101815.26,102777.99,5106.451,1738079999999,524846223.68739980,1308769,2629.11583000,270315679.48662600,0
2025-01-28 16:00:00,102777.99,103108.0,101820.15,102424.24,4696.05403,1738094399999,481314138.98227910,1247430,2336.89418000,239536873.04054130,0
2025-01-28 20:00:00,102424.24,102538.0,100272.68,101335.52,3843.25665,1738108799999,388761096.60398720,960408,1735.17901000,175518803.42899530,0
2025-01-29 00:00:00,101335.52,102319.69,101328.01,102038.2,1696.38336,1738123199999,172677997.39803020,469104,779.67881000,79364213.87839980,0
2025-01-29 04:00:00,102038.21,102853.53,101955.51,102755.82,1764.20643,1738137599999,180648217.83470150,374651,942.74367000,96549459.96413060,0
2025-01-29 08:00:00,102755.81,103000.0,102180.65,102646.0,2209.71378,1738151999999,226744653.08593790,441607,1248.24435000,128088506.23059700,0
2025-01-29 12:00:00,102646.0,102842.04,101582.37,101980.78,4382.66276,1738166399999,447568403.73148790,1018611,1969.21848000,201136250.59908050,0
2025-01-29 16:00:00,101980.78,103999.0,101400.01,103583.99,7259.9178,1738180799999,745368226.43562920,1569966,3809.68016000,391304331.01852870,0
2025-01-29 20:00:00,103584.0,104782.68,102868.0,103733.24,5842.47389,1738195199999,607376196.28634950,1315760,2925.60635000,304193876.12363030,0
2025-01-30 00:00:00,103733.25,105300.0,103278.54,105196.0,3876.90317,1738209599999,404868395.65746790,720819,2264.89274000,236621632.63607670,0
2025-01-30 04:00:00,105196.0,105595.81,104799.66,105132.07,2795.08494,1738223999999,294033349.06024060,473329,1322.34647000,139127999.13439530,0
2025-01-30 08:00:00,105132.07,105534.0,104925.26,105300.63,1690.21583,1738238399999,177890973.32378910,356679,723.71812000,76166603.58970650,0
2025-01-30 12:00:00,105300.63,106457.44,104660.0,105564.0,5586.81148,1738252799999,589809189.37079860,1093270,3002.43111000,317086368.64560070,0
